timestamp,tweet_id,account_name,user_id,text,links,replies,retweets,favorites,embbed_type,embbed_url,quote,hashtags,links_len,image_len,text_len
2018-07-31 09:33:00,1024332295233302530,Mov. Brasil Livre,1523823530,Helio Bicudo foi um homem corajoso  abandonou o petismo e ajudou na luta contra a tirania de Dilma e Lula. Fica aqui nossa homenagem a ele.pic.twitter.com/pUp2jMpysa,[],46,823,2482,,,,[],0,0,165
2018-07-31 06:45:00,1024289963419074561,Mov. Brasil Livre,1523823530,Brasil? Que nada.  O Roda Viva só falou de bolha ontem.pic.twitter.com/1ZtlMSAZZl,[],127,552,1721,image,https://pbs.twimg.com/media/DjcCPtrW0AA6d9Y.jpg,,[],0,47,81
2018-07-31 06:15:00,1024282291172978688,Mov. Brasil Livre,1523823530,"Gente que defende Cuba e Venezuela até hoje falando que precisar discutir sobre 64 para ""acertar sobre o passado"".   Vocês não tem vergonha não?",[],88,847,3980,,,,[],0,0,144
2018-07-31 06:04:00,1024279662795603968,Mov. Brasil Livre,1523823530,"""Cuidado com Fake News no grupo de família""  Não por que o Wikipedia...",[],21,87,488,,,,[],0,0,71
2018-08-03 08:34:00,1025404436963893249,Mov. Brasil Livre,1523823530,,['https://youtu.be/NND9hkMWY0k'],11,21,87,,,,['#AbortoéCRIME'],30,0,0
2018-08-02 10:35:00,1025072558423588865,Mov. Brasil Livre,1523823530,Sigam @kimpkat @mamaefalei @FernandoHoliday @RubinhoNunesMBL @carmelocneto @EricBalbinus @renato_battista @ThomazHBarbosa @FrancineGalbier @DanGeber @JanDaMassa @delvallecaue @salsichambl @wmiiller @HSantanaMBL @PauloMartins10 @RafaRizzo @marciocolombo,[],12,19,66,,,,[],0,0,252
2018-08-02 07:20:00,1025023617267105792,Mov. Brasil Livre,1523823530,"""tags enganosas"" é a desculpa do @YouTubeBrasil para bloquear o vídeo do @bernardopkuster sobre o @rodavivahttps://twitter.com/bernardopkuster/status/1024985171425193984 …",['https://twitter.com/bernardopkuster/status/1024985171425193984'],13,74,270,,,"Meu vídeo analisando os jornalistas do programa @rodaviva vou bloqueado para os usuários por conter ""tags enganosas"". Haja saco! Em setembro terei minha audiência na justiça contra o Youtube e a TV Cultura para esclarecer este tipo de abuso! pic.twitter.com/tks4sGAomL",[],64,0,171
2018-08-02 04:22:00,1024978731578912769,Mov. Brasil Livre,1523823530,Agora é canal no YouTube desmonetizado. Bizarro.https://twitter.com/spiderconsense/status/1024730834618798080 …,['https://twitter.com/spiderconsense/status/1024730834618798080'],15,71,463,,,Enfim...chegou a minha vez. pic.twitter.com/r0E5w5ukqU,[],63,0,111
2018-08-01 09:55:00,1024700082493579268,Mov. Brasil Livre,1523823530,Uma militante do PSOL vai em um debate na @radiojovempan e se recusa a responder perguntas do @mamaefalei ué?? Hauahaau #PingaFogo,[],14,30,282,,,,['#PingaFogo'],0,0,130
2018-08-01 08:36:00,1024680365540159488,Mov. Brasil Livre,1523823530,Começou: @mamaefalei e Isa Penna (PSOL) na @radiojovempan #PingaFogo,[],2,6,44,,,,['#PingaFogo'],0,0,68
